ds,city,yhat,yhat_lower,yhat_upper
2025-07-17 14:00:00,Rohtas,20.84,20.839998223811858,20.840001835067255
2025-07-17 15:00:00,Rohtas,20.84,20.839998143572924,20.84000190406817
2025-07-17 16:00:00,Rohtas,20.84,20.83999807294409,20.84000199053512
2025-07-17 17:00:00,Rohtas,20.84,20.839997997612706,20.840002100204288
2025-07-17 18:00:00,Rohtas,20.84,20.839997920574397,20.84000214312423
2025-07-17 19:00:00,Rohtas,20.84,20.83999783042518,20.840002237784113
2025-07-17 20:00:00,Rohtas,20.84,20.8399977642665,20.840002303290895
2025-07-17 21:00:00,Rohtas,20.84,20.83999766078199,20.840002407238376
2025-07-17 22:00:00,Rohtas,20.84,20.839997594132587,20.84000245765902
2025-07-15 13:00:00,Saharsa,32.03,32.02999995891318,32.03000004130936
2025-07-15 22:00:00,Saharsa,32.03,32.029999960165895,32.03000003911936
2025-07-15 23:00:00,Saharsa,32.03,32.029999962207015,32.03000004468458
2025-07-16 00:00:00,Saharsa,32.03,32.02999995304653,32.030000045311944
2025-07-16 01:00:00,Saharsa,32.03,32.029999950657384,32.03000004673653
2025-07-16 02:00:00,Saharsa,32.03,32.02999993392173,32.030000058980605
2025-07-16 03:00:00,Saharsa,32.03,32.029999922953714,32.03000007261202
2025-07-16 04:00:00,Saharsa,32.03,32.02999989664115,32.0300000982523
2025-07-16 05:00:00,Saharsa,32.03,32.02999986081864,32.03000013252503
2025-07-16 06:00:00,Saharsa,32.03,32.02999982796198,32.030000182509305
2025-07-16 07:00:00,Saharsa,32.03,32.02999978125095,32.0300002237613
2025-07-16 08:00:00,Saharsa,32.03,32.02999974024127,32.0300002863732
2025-07-16 09:00:00,Saharsa,32.03,32.02999968954014,32.03000032840467
2025-07-16 10:00:00,Saharsa,32.03,32.02999962895451,32.030000403297834
2025-07-16 11:00:00,Saharsa,32.03,32.02999956890951,32.03000045564391
2025-07-16 12:00:00,Saharsa,32.03,32.02999953114076,32.03000051124452
2025-07-16 13:00:00,Saharsa,32.03,32.02999947087088,32.03000056774219
2025-07-16 14:00:00,Saharsa,32.03,32.02999940830958,32.030000627810296
2025-07-16 15:00:00,Saharsa,32.03,32.02999933238089,32.0300006980063
2025-07-16 16:00:00,Saharsa,32.03,32.029999306339974,32.03000078788821
2025-07-16 17:00:00,Saharsa,32.03,32.02999926351395,32.03000084584054
2025-07-16 18:00:00,Saharsa,32.03,32.0299991628978,32.03000092743709
2025-07-16 19:00:00,Saharsa,32.03,32.0299990752802,32.03000102417278
2025-07-16 20:00:00,Saharsa,32.03,32.02999903216507,32.03000111876915
2025-07-16 21:00:00,Saharsa,32.03,32.029998964454066,32.03000118650293
2025-07-16 22:00:00,Saharsa,32.03,32.029998874730474,32.03000127417839
2025-07-16 23:00:00,Saharsa,32.03,32.029998766979524,32.03000135208731
2025-07-17 00:00:00,Saharsa,32.03,32.02999869752789,32.030001442855436
2025-07-17 01:00:00,Saharsa,32.03,32.02999857092967,32.030001524447044
2025-07-17 02:00:00,Saharsa,32.03,32.02999848946467,32.03000160506849
2025-07-17 03:00:00,Saharsa,32.03,32.029998470328664,32.03000167134895
2025-07-17 04:00:00,Saharsa,32.03,32.02999832629064,32.03000178795446
2025-07-17 05:00:00,Saharsa,32.03,32.02999817079801,32.03000185965191
2025-07-17 06:00:00,Saharsa,32.03,32.02999806057097,32.03000196052972
2025-07-17 07:00:00,Saharsa,32.03,32.029997940276694,32.0300020611536
2025-07-17 08:00:00,Saharsa,32.03,32.0299978199879,32.03000217284126
2025-07-17 09:00:00,Saharsa,32.03,32.02999772463014,32.030002229666955
2025-07-17 10:00:00,Saharsa,32.03,32.02999764181779,32.03000234560628
